,answer,question,context
10,"1/2 lb. butter
3 eggs
1 1/2 tsp. vanilla
1 c. sugar
1 1/4 c. flour
1/4 tsp. salt
1 c. nuts, chopped
1 c. coconut
Combine butter and eggs; beat well. Add rest of ingredients except coconut","Barley Flour,Soybean Oil,Corn and Malt Syrup,Salt,Garlic,Yeast,Garlic Oil","[Document(page_content='rice\tflour,\tprotein\tisolate,\tdried\tand\t\npowdered\tspinach,\tcarrot;\tskim\tmilk\t\npowder,\tsalt\tand\tsugar)\n\t Mixing\tof\tall\tingredients\t Homogenization \tthrough\tsifting\n\t Packing\n\t Storage P otato powder 28%\n Rice flour 65%\n Pr otein isolates 7%\n Carr ot 3%\n Spinach 3%\n Skimmed milk 10%\n Sug ar 10%\n Salt 1%\nPOT A TO FLOUR BASED INF ANT  COMPLEMENT AR Y FOOD'), Document(page_content='rice\tflour,\tprotein\tisolate,\tdried\tand\t\npowdered\tspinach,\tcarrot;\tskim\tmilk\t\npowder,\tsalt\tand\tsugar)\n\t Mixing\tof\tall\tingredients\t Homogenization \tthrough\tsifting\n\t Packing\n\t Storage P otato powder 28%\n Rice flour 65%\n Pr otein isolates 7%\n Carr ot 3%\n Spinach 3%\n Skimmed milk 10%\n Sug ar 10%\n Salt 1%\nPOT A TO FLOUR BASED INF ANT  COMPLEMENT AR Y FOOD')]"
11,"10 large eggs
6 cups boiling water
4 sticks unsalted butter, melted and cooled to room temperature
3 teaspoons salt
1 cup chopped fresh chives (about 2 bunches)
2 tablespoons minced garlic
2 pounds goat cheese (soft), at room temperature

Place eggs in a medium saucepan and cover with the boiling water. Bring water back to a boil, reduce heat to low and simmer for 5 minutes. Drain into a colander and rinse under cold running water until cool.

Remove eggshells by cracking them on the counter or shaking eggs in a bowl of cold water.

Cut eggs lengthwise in half. Remove yolks into a large mixing bowl and place whites, cut-side down, on paper towels to drain.

Add salt, butter, chives and garlic to egg yolks and blend with an electric mixer at high speed until smooth.

Cut goat cheese into 1/2-inch pieces. Add to blender, using a spatula to scrape off the sides and bottom of the bowl. Blend just until cheese is incorporated, about 30 seconds.","eggs, water, butter, chives, goat cheese","[Document(page_content='hummus, beans, cheese, cream cheese, etc.)'), Document(page_content='hummus, beans, cheese, cream cheese, etc.)')]"
12,"
1 can cream of mushroom soup
1 pkg. spaghetti noodles (cooked)
1/2 c. shredded cheese
1 Tbsp. garlic powder
1 tsp. black pepper
1 tsp. dried parsley flakes
1 Tbsp. dried basil flakes
1 tsp. sherry (optional)

Cook noodles","Garlic Powder, cheese, sherry, dried parsley, dried basil, black pepper, mushrooms","[Document(page_content='-Basil pesto sauce, sliced red tomatoes, cooked an d diced chicken, caramelized onions, \nmozzarella cheese  \n-Creamy alfredo sauce, bacon pieces, cooked and diced chicken, spinach  \n-Tomato sauce, Canadian bacon, pineapple, mozzarella cheese  \n-BBQ sauce, chicken, red onions, mozzarella cheese  \n-Tomato or basil pe sto sauce, onions, green and red peppers, mushrooms, banana peppers, \nsundried tomatoes, spinach, feta cheese  \n-Tomato sauce, fresh mozzarella slices, fresh basil'), Document(page_content='-Basil pesto sauce, sliced red tomatoes, cooked an d diced chicken, caramelized onions, \nmozzarella cheese  \n-Creamy alfredo sauce, bacon pieces, cooked and diced chicken, spinach  \n-Tomato sauce, Canadian bacon, pineapple, mozzarella cheese  \n-BBQ sauce, chicken, red onions, mozzarella cheese  \n-Tomato or basil pe sto sauce, onions, green and red peppers, mushrooms, banana peppers, \nsundried tomatoes, spinach, feta cheese  \n-Tomato sauce, fresh mozzarella slices, fresh basil')]"
13,"1 1/2 cups pistachios (I used lightly salted)
1 cup raw almonds
1/4 cup raw cashews
1/8 cup peanuts (or cottonseed oil if you don't like peanuts)
2 Tablespoons olive oil (I only use 1 tablespoon)
1 teaspoon sea salt (I omit this)

Preheat the oven to 300 degrees. Combine all of the ingredients in a food processor. Pulse until coarsely chopped, but not too fine. Spread nuts on a baking sheet and toast for 25 minutes, stirring every few minutes. (I do this in a non-stick skillet and only cook them about 10 -12 minutes.)

Remove from oven and cool","Pistachios,Almonds,Cashews,Peanut and/or Cottonseed Oil,Sea Salt","[Document(page_content='Mushrooms  \nTomatoes  \nOlives  \nAvocado  \n \nCheese : \nShredded mozzarella, Swiss, cheddar, or any other favorite  \nCrumbled blue cheese, goat cheese, or feta cheese  \nParmesan  \n \nNuts/Seeds:  \nSlivered almonds  \nWalnuts  \nCashews  \nPeanuts  \nPumpkin seeds  \nSunflower seeds'), Document(page_content='Mushrooms  \nTomatoes  \nOlives  \nAvocado  \n \nCheese : \nShredded mozzarella, Swiss, cheddar, or any other favorite  \nCrumbled blue cheese, goat cheese, or feta cheese  \nParmesan  \n \nNuts/Seeds:  \nSlivered almonds  \nWalnuts  \nCashews  \nPeanuts  \nPumpkin seeds  \nSunflower seeds')]"
14,"Directions:
1. Take a heavy bottomed pan and pour in 3 tbsp of oil.
2. Add all the spices and roast over medium heat till they are fragrant.
3. Set aside to cool.
4. Grind","Turmeric,Fenugreek,Coriander,Mustard Flour,Cumin,Gingerroot,Black Pepper,Allspice,Cayenne and Fennel.","[Document(page_content='½ capsicum + 1 green chilli + ½ cup  water measured in big sized coﬀee mug)Khaskhas/ poppy seeds paste (8-10 tsp  poppy seeds + ½ cup water  measured in big sized coﬀee mug)Onion paste 1 onion\nGreen chillies As per taste\nTurmeric / haldi 1 tsp \nSalt {1 tsp salt for marinating prawns  3 tsp  and 2 tsp salt for cooking}Red chilli powder 1 tsp \nMustard oil 2 tsp\nNote\nCover the top with parchment paper to avoid ice crystal on top.\nBACK TO INDEX'), Document(page_content='½ capsicum + 1 green chilli + ½ cup  water measured in big sized coﬀee mug)Khaskhas/ poppy seeds paste (8-10 tsp  poppy seeds + ½ cup water  measured in big sized coﬀee mug)Onion paste 1 onion\nGreen chillies As per taste\nTurmeric / haldi 1 tsp \nSalt {1 tsp salt for marinating prawns  3 tsp  and 2 tsp salt for cooking}Red chilli powder 1 tsp \nMustard oil 2 tsp\nNote\nCover the top with parchment paper to avoid ice crystal on top.\nBACK TO INDEX')]"
15,"Oyster Stew
1/2 stick butter
1 cup chopped celery
4 cloves minced garlic
1 tsp. onion powder
1 tsp. dried oregano leaves
1 tsp. thyme leaves
1 tsp. lemon zest
1 c. white wine
2 c. half-and-half
4 cans (6 oz. each) oysters, drained and rinsed
Salt and pepper to taste
Melt butter in a large saucepan over medium heat. Add celery and garlic, sauté for 3 minutes.
Add oregano, thyme, lemon zest and wine, cook on high until it is reduced by half.
Add half-and-half, stirring well, then add oysters. Reduce heat to low. Cook 10 minutes. Season with salt and pepper. Garnish with parsley. Makes 4 servings.","Whole Oysters,Water,Salt.","[Document(page_content='hummus, beans, cheese, cream cheese, etc.)'), Document(page_content='hummus, beans, cheese, cream cheese, etc.)')]"
16,"Makes 2 dozen.
In large bowl, mix salt, sugar and spices. Add onions, garlic and cornstarch. Toss well. Heat oil in a wok or pan and fry onion mixture until browned. Remove from heat and let stand at least one day or overnight. Place onions in 2-cup measure,","Salt,Sugar,Spices,Including Paprika,Tumeric,Onion,Corn Starch,Garlic","[Document(page_content='Small size onion /f_inely   1\n chopped\nCoriander leaves 25 gmsGrated ginger 1 inch\nRed chili powder ¼ tspChaat Masala ½ tsp\nFinely chopped green   1\n chilli\nBlack pepper powder ¼ tspMashed paneer 80 gmWheat /f_lour 2½ cup / \n   320 gm \nRice /f_lour ¼ cup \nGhee 1 tbsp\nGhee for prantha 4 tbspWater ..\nWheat /f_lour ..\nSalt As per taste\nCREATIVITY IN ADVERSITY 67\nBACK TO INDEX'), Document(page_content='Small size onion /f_inely   1\n chopped\nCoriander leaves 25 gmsGrated ginger 1 inch\nRed chili powder ¼ tspChaat Masala ½ tsp\nFinely chopped green   1\n chilli\nBlack pepper powder ¼ tspMashed paneer 80 gmWheat /f_lour 2½ cup / \n   320 gm \nRice /f_lour ¼ cup \nGhee 1 tbsp\nGhee for prantha 4 tbspWater ..\nWheat /f_lour ..\nSalt As per taste\nCREATIVITY IN ADVERSITY 67\nBACK TO INDEX')]"
17,"Heat 3/4 c. water to boiling point; add 1 c. nonpareil capers, 2 Tbsp. salt and 1 1/2 c. vinegar. Let stand for 15 minutes, then drain and use as desired.","Non Pareil Capers,Water,Salt and Vinegar","[Document(page_content='Baking soda 1 tsp\nBrown sugar 1 cup\nVanilla essence 1 tsp\nOlive oil 1/2 cup\nMilk 1 cup\nVinegar (you can also use  2 tsp\n lemon juice)\nBanana (ripe) 3\nCardamon powder 1 tsp\nSalt 1 tsp\nWalnuts (optional) 1/2 cup\nBACK TO INDEX'), Document(page_content='Baking soda 1 tsp\nBrown sugar 1 cup\nVanilla essence 1 tsp\nOlive oil 1/2 cup\nMilk 1 cup\nVinegar (you can also use  2 tsp\n lemon juice)\nBanana (ripe) 3\nCardamon powder 1 tsp\nSalt 1 tsp\nWalnuts (optional) 1/2 cup\nBACK TO INDEX')]"
18,"Combine all the ingredients in a bowl. Mix well and serve as needed.
BACK TO INDEX
Generate a cooking recipe using the following ingredients:
Ingredients: Water, Sugar, Egg, Corn Maltodextrin, Salt, Baking Soda and Vanilla Extract
Helpful recipe:
Add water to the saucepan (a 3-quart pan works well). Add sugar, egg, corn maltodextrin, salt, baking soda and vanilla extract. Stir and bring mixture to a boil on medium heat. Remove from the burner and let cool. Pour the syrup into an ice cube tray and freeze until frozen solid (approximately 2 hours). When you want to make some homemade popsicles, take your frozen cubes of popsicle juice out of the ice cube trays and put them in a bowl. Add water and stir","Almonds,Sugar,Cocoa Powder ,Corn Maltodextrin,Dark Chocolate,Sea Salt and Rebiana ","[Document(page_content='Baking soda 1 tsp\nBrown sugar 1 cup\nVanilla essence 1 tsp\nOlive oil 1/2 cup\nMilk 1 cup\nVinegar (you can also use  2 tsp\n lemon juice)\nBanana (ripe) 3\nCardamon powder 1 tsp\nSalt 1 tsp\nWalnuts (optional) 1/2 cup\nBACK TO INDEX'), Document(page_content='Baking soda 1 tsp\nBrown sugar 1 cup\nVanilla essence 1 tsp\nOlive oil 1/2 cup\nMilk 1 cup\nVinegar (you can also use  2 tsp\n lemon juice)\nBanana (ripe) 3\nCardamon powder 1 tsp\nSalt 1 tsp\nWalnuts (optional) 1/2 cup\nBACK TO INDEX')]"
19,"Take one small or 1/2 large onion, chop it and put in a small pot with 3 to 4 tablespoons of olive oil. Cook at medium heat until soft and light brown; drain off all but about 1 tablespoon of the oil. Add 8 ounces of any type of cheese you choose: cheddar, Swiss, blue or Mozzarella; 2 teaspoons salt and 1/4 to 1/2 teaspoon black pepper. Cook until the cheese melts and gets smooth. Remove from heat and pour into a bowl. Makes about 3 cups.

Serve warm with crackers, bread, pretzel sticks, etc.; or spread on buns for a sandwich. You may use any of your favorite spices and herbs to enhance the flavor, such as garlic powder, dried parsley, paprika, dill weed, basil, oregano, cumin, etc.","olive oil, onion, cheese, salt, black pepper, buns","[Document(page_content='hummus, beans, cheese, cream cheese, etc.)'), Document(page_content='hummus, beans, cheese, cream cheese, etc.)')]"
20,"Heat oil in skillet; add onion and garlic, saut_f 2 minutes or until softened. Add potato and stir to coat with oil; cover pan and cook over low heat, stirring occasionally, about 10 minutes. Uncover pan; add broth and corn. Increase heat to medium-high and bring to boil. Reduce heat and simmer, partially covered, about 15 minutes or until potato is tender. (Add water if mixture becomes too dry.) Transfer vegetables into food processor bowl, using slotted spoon. Add 1/2 cup stock, corn kernels and butter;","sweet corn, butter, Italian seasoning","[Document(page_content='Broccoli, thick stems peeled and diced \n (about 2 cups), tops cut into small /f_lorets 1 medium\nPotato, peeled and cut into 1/2-inch cubes 1 small/ mediumWater  3 cups \nSalt  1 \n3/4 tsp\nChilli /f_lakes/chilli powder (optional)  ½ tspFresh-ground black pepper  1/4 tsp\nGrated Parmesan or processed cheese  1/2 cup \n (optional) (For Italian touch to the recipe)\n32\nBACK TO INDEX'), Document(page_content='Broccoli, thick stems peeled and diced \n (about 2 cups), tops cut into small /f_lorets 1 medium\nPotato, peeled and cut into 1/2-inch cubes 1 small/ mediumWater  3 cups \nSalt  1 \n3/4 tsp\nChilli /f_lakes/chilli powder (optional)  ½ tspFresh-ground black pepper  1/4 tsp\nGrated Parmesan or processed cheese  1/2 cup \n (optional) (For Italian touch to the recipe)\n32\nBACK TO INDEX')]"
21,"Bring the water to the boil in a large saucepan. Add the broccoli stalks, bring back to the boil, reduce heat and simmer for 5 minutes; drain. In another pan, cook potato cubes in lightly salted boiling water until just tender (about 10 minutes). Drain and mash with a potato masher or beat with a hand-held mixer to make a puree; set aside.
In the saucepan used for the broccoli, heat the oil over low heat. Add onion and garlic and cook, stirring often","broccoli,  garlic, onion, flour, water, potato","[Document(page_content='Broccoli, thick stems peeled and diced \n (about 2 cups), tops cut into small /f_lorets 1 medium\nPotato, peeled and cut into 1/2-inch cubes 1 small/ mediumWater  3 cups \nSalt  1 \n3/4 tsp\nChilli /f_lakes/chilli powder (optional)  ½ tspFresh-ground black pepper  1/4 tsp\nGrated Parmesan or processed cheese  1/2 cup \n (optional) (For Italian touch to the recipe)\n32\nBACK TO INDEX'), Document(page_content='Broccoli, thick stems peeled and diced \n (about 2 cups), tops cut into small /f_lorets 1 medium\nPotato, peeled and cut into 1/2-inch cubes 1 small/ mediumWater  3 cups \nSalt  1 \n3/4 tsp\nChilli /f_lakes/chilli powder (optional)  ½ tspFresh-ground black pepper  1/4 tsp\nGrated Parmesan or processed cheese  1/2 cup \n (optional) (For Italian touch to the recipe)\n32\nBACK TO INDEX')]"
22,"-Fry onion in 2 Tbsp olive oil until golden brown; add garlic and fry for 1 minute; 
add all other ingredients except basil leaves.
Simmer for 30 minutes.
Stir in basil leaves just before serving.
Serve over pasta or rice.","onions, chicken, garlic, peppers, tomatoes,  basil leaves","[Document(page_content='-Basil pesto sauce, sliced red tomatoes, cooked an d diced chicken, caramelized onions, \nmozzarella cheese  \n-Creamy alfredo sauce, bacon pieces, cooked and diced chicken, spinach  \n-Tomato sauce, Canadian bacon, pineapple, mozzarella cheese  \n-BBQ sauce, chicken, red onions, mozzarella cheese  \n-Tomato or basil pe sto sauce, onions, green and red peppers, mushrooms, banana peppers, \nsundried tomatoes, spinach, feta cheese  \n-Tomato sauce, fresh mozzarella slices, fresh basil'), Document(page_content='-Basil pesto sauce, sliced red tomatoes, cooked an d diced chicken, caramelized onions, \nmozzarella cheese  \n-Creamy alfredo sauce, bacon pieces, cooked and diced chicken, spinach  \n-Tomato sauce, Canadian bacon, pineapple, mozzarella cheese  \n-BBQ sauce, chicken, red onions, mozzarella cheese  \n-Tomato or basil pe sto sauce, onions, green and red peppers, mushrooms, banana peppers, \nsundried tomatoes, spinach, feta cheese  \n-Tomato sauce, fresh mozzarella slices, fresh basil')]"
23,"Curried Red Lentil and Quinoa Soup
1 ¾ cup quinoa, dry
1 ½ tbsp","lentils, tomato, red chillies, garlic, ginger","[Document(page_content='72 \n \n \n Curried Red Lentil and Quinoa Soup  \n \n¾ cup quinoa, dry  \n1 ½ tbsp. olive oil  \n¾ - 1 cup onion, diced  \n¾ -1 cup carrots, diced  \n¾ - 1 cup celery, diced  \n1 ¼ tbsp. garlic minced  \n1 ½ tbsp. fresh ginger, grated  \n1 ½ tbsp. curry powder  \n1 ¼ cup red lentils  \n5 cups vegetable broth  \n3 cups water  \n3 (15 oz.) cans diced tomatoes  \n1- 1 ½ tbsp. chili sauce (like Sriracha)  \n1 (15 oz.) can garbanzo beans, drained and rinsed'), Document(page_content='72 \n \n \n Curried Red Lentil and Quinoa Soup  \n \n¾ cup quinoa, dry  \n1 ½ tbsp. olive oil  \n¾ - 1 cup onion, diced  \n¾ -1 cup carrots, diced  \n¾ - 1 cup celery, diced  \n1 ¼ tbsp. garlic minced  \n1 ½ tbsp. fresh ginger, grated  \n1 ½ tbsp. curry powder  \n1 ¼ cup red lentils  \n5 cups vegetable broth  \n3 cups water  \n3 (15 oz.) cans diced tomatoes  \n1- 1 ½ tbsp. chili sauce (like Sriracha)  \n1 (15 oz.) can garbanzo beans, drained and rinsed')]"
24,"Cook sausages and mushrooms in fry pan until brown. Add a little water, tomatoes, tomato sauce and mustard. Cover and cook for 10 minutes or so. Pour over cooked spaghetti noodles and top with hard-boiled eggs.

[end of cooking recipe]","mushrooms, sausages, tomatoes, tomatoes, mustard, eggs","[Document(page_content='hummus, beans, cheese, cream cheese, etc.)'), Document(page_content='hummus, beans, cheese, cream cheese, etc.)')]"
